C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66 w0 w1 w2 w3 w4 w5 w01 w02 w03 w11 w12 w13 w21 w22 w23 w31 w32 w33 Sharing nodes
0.168953 0.049920 0.049920 0.000000 0.000000 -0.000000 0.168953 0.049920 -0.000000 -0.000000 0.000000 0.168953 0.000000 -0.000000 0.000000 0.017697 -0.000000 0.000000 0.017697 -0.000000 0.017697 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 f1 e5 f2
0.674865 0.010140 0.010140 0.000000 -0.000000 -0.000000 0.674865 0.010140 -0.000000 -0.000000 -0.000000 0.674865 -0.000000 0.000000 0.000000 0.001154 -0.000000 0.000000 0.001154 -0.000000 0.001154 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 v1 e1
1.896847 0.581212 0.581212 0.000000 -0.000000 -0.000000 1.896847 0.581212 -0.000000 0.000000 -0.000000 1.896847 0.000000 -0.000000 0.000000 0.535859 0.000000 0.000000 0.535859 -0.000000 0.535859 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e3 e2 e4
0.627043 0.312546 0.312546 0.000000 -0.000000 -0.000000 0.627043 0.312546 -0.000000 -0.000000 0.000000 0.627043 -0.000000 0.000000 0.000000 0.297111 -0.000000 0.000000 0.297111 -0.000000 0.297111 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 v1 f1
0.505088 0.002710 0.002710 -0.000000 -0.000000 -0.000000 0.505088 0.002710 0.000000 0.000000 -0.000000 0.505088 -0.000000 0.000000 -0.000000 0.003203 0.000000 0.000000 0.003203 -0.000000 0.003203 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 v3 e1
1.714106 0.862958 0.862958 -0.000000 0.000000 -0.000000 1.714106 0.862958 -0.000000 -0.000000 0.000000 1.714106 0.000000 0.000000 -0.000000 0.805876 0.000000 0.000000 0.805876 -0.000000 0.805876 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e1 e4 f3
0.972809 0.784580 0.784580 -0.000000 0.000000 0.000000 0.972809 0.784580 -0.000000 -0.000000 0.000000 0.972809 -0.000000 0.000000 -0.000000 0.183312 0.000000 0.000000 0.183312 0.000000 0.183312 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v0 e5 v3
0.050754 0.005672 0.005672 -0.000000 0.000000 -0.000000 0.050754 0.005672 0.000000 -0.000000 -0.000000 0.050754 0.000000 0.000000 -0.000000 0.011278 0.000000 0.000000 0.011278 -0.000000 0.011278 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e4 e2 f0
2.061930 0.063849 0.063849 -0.000000 -0.000000 -0.000000 2.061930 0.063849 0.000000 0.000000 -0.000000 2.061930 -0.000000 0.000000 -0.000000 0.013443 0.000000 0.000000 0.013443 -0.000000 0.013443 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e1 e3 e2
1.264854 0.528131 0.528131 0.000000 0.000000 -0.000000 1.264854 0.528131 -0.000000 0.000000 -0.000000 1.264854 0.000000 0.000000 0.000000 0.497378 0.000000 -0.000000 0.497378 -0.000000 0.497378 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 e4 e3
2.328836 0.888569 0.888569 -0.000000 0.000000 -0.000000 2.328836 0.888569 0.000000 -0.000000 -0.000000 2.328836 -0.000000 0.000000 -0.000000 0.844759 0.000000 0.000000 0.844759 -0.000000 0.844759 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 e1 e4
1.232906 -0.433292 -0.433292 -0.000000 -0.000000 0.000000 1.232906 -0.433292 0.000000 -0.000000 -0.000000 1.232906 -0.000000 -0.000000 0.000000 0.132495 -0.000000 0.000000 0.132495 -0.000000 0.132495 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e0 e2
1.613772 0.790682 0.790682 -0.000000 -0.000000 -0.000000 1.613772 0.790682 0.000000 0.000000 0.000000 1.613772 -0.000000 0.000000 -0.000000 0.770847 0.000000 0.000000 0.770847 -0.000000 0.770847 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e0 e4 e2
