C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66 w5 w11 w12 w13 w21 w22 w23 w41 w42 w43
0.192447 0.159778 0.159778 -0.000000 -0.000000 0.000000 0.347428 0.004558 -0.000000 -0.000000 0.000000 0.347428 -0.000000 0.000000 -0.000000 0.045306 -0.000000 0.000000 0.004529 -0.000000 0.045306 0.000000 0.333333 0.666667 0.000000 0.333333 0.333333 0.333333 0.000000 0.000000 1.000000 
1.329460 0.357442 0.357442 -0.000000 -0.000000 0.000000 0.226820 0.223113 -0.000000 0.000000 -0.000000 0.226820 -0.000000 -0.000000 0.000000 0.090152 -0.000000 -0.000000 0.032864 -0.000000 0.090152 0.000000 0.000000 0.333333 0.666667 0.333333 0.000000 0.666667 0.000000 1.000000 0.000000 
0.037439 0.000316 0.000316 0.000000 0.000000 0.000000 0.417689 0.024369 -0.000000 -0.000000 -0.000000 0.417689 0.000000 0.000000 -0.000000 0.000763 0.000000 -0.000000 0.012669 -0.000000 0.000763 0.333333 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.333333 0.666667 
0.336737 0.003108 0.003108 0.000000 -0.000000 -0.000000 0.260660 0.258739 -0.000000 -0.000000 0.000000 0.260660 -0.000000 0.000000 -0.000000 0.000335 0.000000 -0.000000 0.248183 -0.000000 0.000335 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 
0.527237 0.265362 0.265362 0.000000 0.000000 -0.000000 0.883809 0.275815 -0.000000 -0.000000 -0.000000 0.883809 -0.000000 -0.000000 -0.000000 0.253393 0.000000 0.000000 0.254543 -0.000000 0.253393 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
0.790784 0.523734 0.523734 -0.000000 0.000000 -0.000000 0.408179 0.300275 0.000000 0.000000 0.000000 0.408179 0.000000 -0.000000 0.000000 0.403165 -0.000000 0.000000 0.252871 -0.000000 0.403165 1.000000 0.000000 0.666667 0.333333 0.333333 0.000000 0.666667 0.000000 0.000000 1.000000 
0.191381 0.064219 0.064219 0.000000 -0.000000 0.000000 0.667489 -0.209772 -0.000000 0.000000 -0.000000 0.667489 0.000000 -0.000000 -0.000000 0.013749 -0.000000 0.000000 0.003265 -0.000000 0.013749 0.000000 0.333333 0.666667 0.000000 0.000000 0.666667 0.333333 1.000000 0.000000 0.000000 
0.079211 0.000021 0.000021 0.000000 0.000000 0.000000 0.038813 0.035377 0.000000 0.000000 -0.000000 0.038813 0.000000 -0.000000 -0.000000 0.000893 -0.000000 0.000000 0.388533 0.000000 0.000893 0.666667 0.000000 0.666667 0.333333 0.000000 0.000000 1.000000 0.666667 0.333333 0.000000 
1.163552 0.200070 0.200070 -0.000000 -0.000000 -0.000000 0.386932 0.041767 -0.000000 0.000000 -0.000000 0.386932 -0.000000 0.000000 0.000000 0.317836 -0.000000 0.000000 0.137764 -0.000000 0.317836 0.000000 1.000000 0.000000 0.000000 0.333333 0.000000 0.666667 1.000000 0.000000 0.000000 
0.443655 0.158764 0.158764 0.000000 0.000000 -0.000000 0.397623 0.188922 -0.000000 0.000000 0.000000 0.397623 0.000000 0.000000 -0.000000 0.027263 0.000000 -0.000000 0.026120 0.000000 0.027263 0.333333 0.333333 0.666667 0.000000 1.000000 0.000000 0.000000 0.000000 1.000000 0.000000 
